"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2100","I go to the Home Page Website","","Sat Dec 06 20:32:04 UTC 2025","failed","Sat Dec 06 20:32:07 UTC 2025","","I want check some Eleevenys at a Home Page","I want check some Eleevenys at a Home Page","I go to the Home Page Website"
"","288","Check 200 Page (example #1)","","Sat Dec 06 20:32:09 UTC 2025","passed","Sat Dec 06 20:32:10 UTC 2025","","I want check respose code at a Links Page","I want check respose code at a Links Page","Check 200 Page (example #1)"
"","72","Check 200 Page (example #3)","","Sat Dec 06 20:32:10 UTC 2025","passed","Sat Dec 06 20:32:10 UTC 2025","","I want check respose code at a Links Page","I want check respose code at a Links Page","Check 200 Page (example #3)"
"","286","Check 200 Page (example #2)","","Sat Dec 06 20:32:10 UTC 2025","passed","Sat Dec 06 20:32:10 UTC 2025","","I want check respose code at a Links Page","I want check respose code at a Links Page","Check 200 Page (example #2)"
"","2614","Login as new sign up user with valid data","","Sat Dec 06 20:32:12 UTC 2025","passed","Sat Dec 06 20:32:15 UTC 2025","","I want to login into the site with valid data","I want to login into the site with valid data","Login as new sign up user with valid data"
